IMDB Data Dump ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Current IMDB data is available at https://www.imdb.com/interfaces/,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
DATA BEGINS BELOW:,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
director name,num_critic_for_reviews,duration,director_facebook likes,actor_3 facebook_likes,actor_2_name,actor_1 facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber in_poster,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie facebook_likes
Gore Verbinski,302.0,169.0,563,1000,Orlando Bloom,40000,309404152,Action,Johnny Depp,Pirates of the Caribbean: At World's End,471220,48350,Jack Davenport,0,1238,English,USA,PG-13,300000000,2007,5000,7.1,2.35,0
Christopher Nolan,813.0,164.0,22000,23000,Christian Bale,27000,448130642,Action,Tom Hardy,The Dark Knight Rises,1144337,106759,Joseph Gordon-Levitt,0,2701,English,USA,PG-13,250000000,2012,23000,8.5,2.35,164000
Andrew Stanton,462.0,132.0,475,530,Samantha Morton,640,73058679,Action,Daryl Sabara,John Carter,212204,1873,Polly Walker,1,738,English,USA,PG-13,263700000,2012,632,6.6,2.35,24000
Nathan Greno,324.0,100.0,15,284,Donna Murphy,799,200807262,Adventure,Brad Garrett,Tangled,294810,2036,M.C. Gainey,1,387,English,USA,PG,260000000,2010,553,7.8,1.85,29000
David Yates,375.0,153.0,282,10000,Daniel Radcliffe,25000,301956980,Adventure,Alan Rickman,Harry Potter and the Half-Blood Prince,321795,58753,Rupert Grint,3,973,English,UK,PG,250000000,2009,11000,7.5,2.35,10000
Marc Forster,403.0,106.0,395,393,Mathieu Amalric,451,168368427,Action,Giancarlo Giannini,Quantum of Solace,330784,2023,Rory Kinnear,1,1243,English,UK,PG-13,200000000,2008,412,6.7,2.35,0
Gore Verbinski,313.0,151.0,563,1000,Orlando Bloom,40000,423032628,Action,Johnny Depp,Pirates of the Caribbean: Dead Man's Chest,522040,48486,Jack Davenport,2,1832,English,USA,PG-13,225000000,2006,5000,7.3,2.35,5000
Gore Verbinski,450.0,150.0,563,1000,Ruth Wilson,40000,89289910,Action,Johnny Depp,The Lone Ranger,181792,45757,Tom Wilkinson,1,711,English,USA,PG-13,215000000,2013,2000,6.5,2.35,48000
Andrew Adamson,258.0,150.0,80,201,Pierfrancesco Favino,22000,141614023,Action,Peter Dinklage,The Chronicles of Narnia: Prince Caspian,149922,22697,Dami�n Alc�zar,4,438,English,USA,PG,225000000,2008,216,6.6,2.35,0
Rob Marshall,448.0,136.0,252,1000,Sam Claflin,40000,241063875,Action,Johnny Depp,Pirates of the Caribbean: On Stranger Tides,370704,54083,Stephen Graham,4,484,English,USA,PG-13,250000000,2011,11000,6.7,2.35,58000
Barry Sonnenfeld,451.0,106.0,188,718,Michael Stuhlbarg,10000,179020854,Action,Will Smith,Men in Black 3,268154,12572,Nicole Scherzinger,1,341,English,USA,PG-13,225000000,2012,816,6.8,1.85,40000
Marc Webb,599.0,153.0,464,963,Andrew Garfield,15000,262030663,Action,Emma Stone,The Amazing Spider-Man,451803,28489,Chris Zylka,0,1225,English,USA,PG-13,230000000,2012,10000,7.0,2.35,56000
